CDISC SEND Rule ID,Class,Domain,Variable,Plain Text Explanation of Condition/Rule,Condition,Rule,Cited Document,Cited Document Section,Cited Item,Cited Guidance,Release Notes
172,FND,ALL,--DRVFL,"--DRVFL value must be either ""Y"" or null.",--DRVFL ^= null,"--DRVFL = ""Y"" ",SENDIG v3.0,6.3.6,LBDRVFL CDISC Notes,Used to indicate a derived record. The value should be Y or null.,
172,FND,ALL,--DRVFL,"--DRVFL value must be either ""Y"" or null.",--DRVFL ^= null,"--DRVFL = ""Y"" ",SENDIG v3.1,6.3.6,LBDRVFL CDISC Notes,Used to indicate a derived record. The value should be Y or null.,
140,EVT,DS,ALL,DS has one record per USUBJID in DM,,DS has one record per USUBJID in DM,SENDIG v3.0,6.2.1,Domain Table | Assumption 1.a,"ds.xpt, Disposition - Events. One record per subject, Tabulation.; The disposition dataset provides a record for the disposition of subjects throughout the study. One record will be created for each subject used in the study, whether it ultimately died or was removed from the study.",
140,EVT,DS,ALL,DS has one record per USUBJID in DM,,DS has one record per USUBJID in DM,SENDIG v3.1,6.2.1,Domain Table | Assumption 1.a,"ds.xpt, Disposition - Events. One record per subject, Tabulation. The disposition dataset provides a record of the final disposition of subjects as they reach their final disposition, and this can be recorded at any stage throughout the study. At study completion, one record must exist for each subject used in the study.",Cited guidance reference updated; no implementation impact.
141,EVT,DS,DSTERM,"DSTERM values should be mapped to DSDECOD (i.e., translated into Controlled Terminology)",,DSTERM is mapped to DSDECOD,SENDIG v3.0,6.2.1; 6.2.1.1,DSTERM CDISC Notes,"DSTERM is the original term recorded for animal disposition. DSTERM is not under controlled terminology, but should be mapped to DSDECOD.",
141,EVT,DS,DSTERM,"DSTERM values should be mapped to DSDECOD (i.e., translated into Controlled Terminology)",,DSTERM is mapped to DSDECOD,SENDIG v3.1,6.2.1,DSTERM CDISC Notes,"DSTERM is the original term recorded for subject disposition. DSTERM is not under controlled terminology, but should be mapped to DSDECOD.",Cited guidance reference updated; no implementation impact.
183,FND,"MA, MI",--DTHREL,"DTHREL must be populated with ""Y"", ""N"", ""U"" or null.",DTHREL ^= null,"DTHREL = ""Y"" OR DTHREL = ""N"" OR DTHREL = ""U""",SENDIG v3.0,6.3.7 | 6.3.8,--DTHREL CDISC Notes,"Describes the relationship of a particular finding to the death of a subject (Y=caused death, N=did not cause death, U=unknown). May be left null if not available.",
183,FND,"MA, MI",--DTHREL,"DTHREL must be populated with ""Y"", ""N"", ""U"" or null.",DTHREL ^= null,"DTHREL = ""Y"" OR DTHREL = ""N"" OR DTHREL = ""U""",SENDIG v3.1,6.3.7 | 6.3.8,MADTHREL CDISC Notes | MIDTHREL CDISC Notes,"Describes the relationship of a particular finding to the death of a subject (Y=caused death, N=did not cause death, U=unknown). May be left null if not available.",
224,SPC,DM,"ARM, ARMCD",Each ARM/ARMCD pair in DM must match those in TA.,ARM ^= null AND ARMCD ^= null,DM.ARM = TA.ARM AND DM.ARMCD = TA.ARMCD for a given TA record,SENDIG v3.1,7.3.1.1,Assumption 2,"ARM and ARMCD values in DM and TA must coincide (ARM and ARMCD are defined as the planned Trial Arms in TA, and the planned Arms are then applied to subjects in DM).",Cited guidance reference updated; no implementation impact.
224,SPC,DM,"ARM, ARMCD","Each ARM/ARMCD pair in DM, if present, must match those in TA.",ARM ^= null AND ARMCD ^= null,DM.ARM = TA.ARM AND DM.ARMCD = TA.ARMCD for a given TA record,SENDIG v3.0,7.3.1.1,Assumption 2,"ARM and ARMCD values in DM and TA must coincide (ARM and ARMCD are defined as the planned trial arms in TA, and the planned arms are then applied to subjects in DM).",
139,ALL,POOLDEF,POOLID,Each POOLID that exists in the SEND dataset must be defined in POOLDEF and must include a record for each subject in the POOLID,POOLID exists in any domain,POOLID exists in POOLDEF; and a record exists for each subject in POOLID,SENDIG v3.0,6.1.1,POOLID CDISC Notes,"CDISC notes for POOLID: If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null.",
139,ALL,POOLDEF,POOLID,Each POOLID that exists in the SEND dataset must be defined in POOLDEF and must include a record for each subject in the POOLID,POOLID exists in any domain,POOLID exists in POOLDEF; and a record exists for each subject in POOLID,SENDIG v3.1,6.1.1,POOLID CDISC Notes,"If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null.",
237,TDM,TX,"SETCD, SET",Each SETCD/SET is a unique pair.,,Each SETCD/SET is a unique pair.,SENDIG v3.0,7.4.1,SETCD CDISC Notes | SET CDISC Notes,"SETCD: Short name of a specific Trial Set. SET: Long description of a specific Trial Set, as defined by the sponsor.",
237,TDM,TX,"SETCD, SET",Each SETCD/SET is a unique pair.,,Each SETCD/SET is a unique pair.,SENDIG v3.1,7.4.1,SETCD CDISC Notes | SET CDISC Notes,"SETCD: Short name of the Trial Set. SET: Long description of a specific Trial Set, as defined by the sponsor.",
37,ALL,ALL,USUBJID,Each subject must have an unique USUBJID,USUBJID exists,USUBJID is unique to one subject,SENDIG v3.0,4.2.3,Text,No more than one animal may have the same USUBJID within a submission.,
37,ALL,ALL,USUBJID,Each subject must have an unique USUBJID,USUBJID exists,USUBJID is unique to one subject,SENDIG v3.1,4.2.3,Text,No more than one animal may have the same USUBJID within a submission.,
233,TDM,TX,SETCD,Each Trial Set must be identified by a SETCD which is unique within the trial.,,Each Trial Set must be identified by a SETCD which is unique within the trial.,SENDIG v3.0,7.4.1.1,Assumption 2,Each Trial Set must be identified by a SETCD which is unique within the trial.,
233,TDM,TX,SETCD,Each Trial Set must be identified by a SETCD which is unique within the trial.,,Each Trial Set must be identified by a SETCD which is unique within the trial.,SENDIG v3.1,7.4.1.1,Assumption 2, Each Trial Set must be identified by a SETCD that is unique within the trial. ,Cited guidance reference updated; no implementation impact.
109,ALL,DM,USUBJID,Each USUBJID that exists in the SEND dataset must exist in DM,USUBJID exists in any domain,USUBJID exists in DM,SENDIG v3.0,5.1.1.1,Assumption 1,"To identify a subject uniquely across a submission, a unique identifier (USUBJID) should be assigned and included in all subject-related datasets in the submission.",
109,ALL,DM,USUBJID,Each USUBJID that exists in the SEND dataset must exist in DM,USUBJID exists in any domain,USUBJID exists in DM,SENDIG v3.1,5.1.1.1,Assumption 1,"To identify a subject uniquely across a submission, a unique identifier (USUBJID) should be assigned and included in all subject-related datasets in the submission.",
NEW SEND RULE 334,FND,EG,EGEVAL,EGEVAL should be null for results that are collected or derived.,Result is collected or derived,EGEVAL = null,SENDIG v3.1,6.3.16,EGEVAL CDISC Notes,Role of the person who provided the evaluation. Should be null for records that contain collected or derived data.,New rule identified from cited guidance.
250,TDM,TS,TSPARMCD,"Either a record with TSPARMCD of AGE or TSPARMCD of AGETXT should be present, but not both. ",,Either a record with TSPARMCD = AGE or TSPARMCD = AGETXT is present; both are not present,SENDIG v3.0,7.6.3,AGE CDISC Notes,Either the AGE or the AGETXT variable should be populated.,
250,TDM,TS,TSPARMCD,"Either a record with TSPARMCD of AGE or TSPARMCD of AGETXT should be present, but not both. ",,Either a record with TSPARMCD = AGE or TSPARMCD = AGETXT is present; both are not present,SENDIG v3.1,7.6.3,AGE CDISC Notes,Either the AGE or the AGETXT variable should be populated.,
NEW SEND RULE 291,INT,EX,"--STDTC, --STDY",Either --STDTC or --STDY must be populated.,, --STDTC ^=null OR --STDY ^=null,SENDIG v3.1,4.4 | 6.1.1.1,Text | Assumption 1.b,"In general, all domains based on the three general observation classes should have at least one Timing variable. In the Events or Interventions general observation class, this could be the start date of the event or intervention…This domain should contain one record per constant dosing interval per subject per administration site (as identified in FOCID). A constant dosing interval is sponsor defined and represents a specific period of time during which a subject was treated with a specific lot at a constant dose level.",New cited guidance.
214,TDM,TE,"TEENRL, TEDUR",Either TEENRL or TEDUR (or both) must be populated for each Element.,,TEENRL ^= null AND/OR TEDUR ^= null,SENDIG v3.0,7.2.1 | 7.2.1.1,TEENRL CDISC Notes | Assumption 12,Either TEENRL or TEDUR must be present for each Element; At least one of TEENRL and TEDUR must be populated. Both may be populated.,
214,TDM,TE,"TEENRL, TEDUR",Either TEENRL or TEDUR (or both) must be populated for each Element.,,TEENRL ^= null AND/OR TEDUR ^= null,SENDIG v3.1,7.2.1,TEENRL CDISC Notes,Either TEENRL or TEDUR must be present for each Element; both may be present.,Cited guidance reference updated; no implementation impact.
NEW SEND RULE 288,TDM,TS,"TSVAL, TSVALNF","Either TSVAL or TSVALNF is populated, but not both.",,"Either TSVAL or TSVALNF is populated, but not both.",SENDIG v3.1,7.6.1.1,TSVALNF CDISC Notes,"Null flavor for the value of the TSPARMs, which should be included according to the trial summary code table below if and only if TSVAL is null.",New cited guidance.
84,ALL,ALL,--ELTM,--ELTM is relative to --TPTREF,--ELTM ^= null ,--ELTM is the planned elapsed time from --TPTREF,SENDIG v3.0,Figure 4.4.7 | 6.1.1,Text,"SDTM 1.2 Section 2.2.5 reference: Planned elapsed time (in ISO 8601) format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"".",
84,ALL,ALL,--ELTM,--ELTM is relative to --TPTREF,--ELTM ^= null ,--ELTM is the planned elapsed time from --TPTREF,SENDIG v3.1,4.4.7.2.2,Text,"--ELTM: the planned elapsed time from the fixed reference point event (e.g., a dose) to the planned observation, in ISO 8601 format, which is usually also reflected in the --TPT label.",Cited guidance reference updated; no implementation impact.
278,ALL,ALL,ALL,"Empty dataset files (i.e., files that do not contain any records) must not be included in a SEND dataset submission.",Dataset file contains no records,Dataset must not be included in the SEND submission,SENDIG v3.0,3.2.1,Text,"In the event that no records are present in a dataset, the empty dataset should not be submitted and should not be described in the data definition file.",
278,ALL,ALL,ALL,"Empty dataset files (i.e., files that do not contain any records) must not be included in a SEND dataset submission.",Dataset file contains no records,Dataset must not be included in the SEND submission,SENDIG v3.1,3.2.1,Text,"In the event that no records are present in a dataset, the empty dataset should not be submitted and should not be described in the data definition file.",
58,"TDM, FND, EVT",ALL,--ENDTC,--ENDTC must be greater than or equal to --DTC,--ENDTC ^=null,--ENDTC >= --DTC,SENDIG v3.0,4.4.3,Text,"If both --DTC and --ENDTC are collected, durations can be calculated by the difference in these two values...",
58,"TDM, FND, EVT",ALL,--ENDTC,--ENDTC must be greater than or equal to --DTC,--ENDTC ^=null,--ENDTC >= --DTC,SENDIG v3.1,4.4.3,Text,"If both --DTC and --ENDTC are collected, durations can be calculated by the difference in these two values...",
244.1,TDM,TX,TXPARMCD,"ENVTEMPU is the unit associated with the environmental temperature; only ""C"" or ""F"" is acceptable.","TXPARMCD = ""ENVTEMPU"" AND TXVAL ^= null","TXVAL = ""C"" OR TXVAL = ""F""",SENDIG v3.0,7.4.2,ENVTEMPU CDISC Notes,"ENVTEMPU: The units associated with the environmental temperature; only ""C"" or ""F"" is acceptable.",Condition format updated.
